Банан,98,0.74,0.29,23,1.7,banana
Белокачанная капуста,25,1.6,0,4,2
Булгур,330,12,1,60,4
Говядина вырезка,106,20.2,2.8,0,0
Горох зел.в банке,73,5.5,0.7,7.4,0
Горох зел. Veski Mati,241,19.4,1.6,27.2,0
Горох колотый Tartu mill,303,23,1.2,53.3,10.8,hernes_poolik
Грецкий орех,670,15,65,14,7
Гречка,350,12.5,2.5,70,7.5
Гранат,72,0.7,0.6,14.5,0.9,granaat
Изюм,303,1.8,0,70.9,3.7
Икра красная,174,23,7,1.2,0
Индейка,144,21.6,5.6,0.1,0
Йогурт греческий,102,2.8,8,4.7,0
Йогурт греческий Tere,99,10,5,3.4,0,kreekaTere
Йогурт обычный без добавок,52,3.3,2.5,4.2,0
Кабачок,24,0.6,0.3,4.6,1
Кама Tartu mill,354,14.8,3,59.2,15,kama
Капуста квашеная,23,1.8,0.1,3,2
Картошка,80,2,0.1,19.7,1.4
Кедровый орех,670,14,68,14,4
Кефир,53,2.9,2.5,4.2,0
Кефир Nopri,54,3.2,2.5,4.6,0,KeefirNopri
Кефир Farmi,53,3.3,2.5,4.2,0,KeefirFARMI25
Кешью,570,18,46,30,3
Киноа,368,14,6,64,7
Киноа just nature,349,13.2,3.8,61.7,7.4,kinoa_mix
Киви,47,0.8,0.4,8.1,3.8,kivi
Клубника,41,0.8,0.4,7.5,2.2
Кока-Кола,42,0,0,10.5,0
Креветки,75,22,0.7,0,0
Кровяная колбаса,184,8.5,10,15,0
Кура бедро,147,17.6,8.4,0.3,0
Кура грудка,103,21.9,1.7,0,0
Лайм,16,0.9,0.1,3,0,laim
Лен,550,18,44,29,30
Лимон,34,0.9,0.1,3,2,sidrun
Лук репчатый,43,1.7,0,9.5,3
Манка,342,10.3,1,74,0
Манго,60,0.8,0.4,13.4,1.6,mango
Масло сливочное 82%,750,0.9,82,1.1,0
Молоко 2,5,55,3.2,2.5,4.8
Морковь,33,1.3,0.1,7,2.4
Мука пшеничная,336,12,1.5,67,5
Кукурузные хлопья Veski Mati,356,9.4,4.7,74.3,7.3
Нектарин,44,1.1,0.3,8.9,1.7,nektariin
Овёс,368,12.6,6.2,58.7,10.6
Овсяные хлопья,359,14,7,54,0
Овсяные отруби Tartu Mill,355,18.2,8.4,42.9,17.3,kaerakliid
Огурец,12,0.7,0,4.2,1.4
Пекан,710,9,72,14,10
Перец,25,1.3,0,5,1.9
Печенка говяжья,122,17.4,3.1,0,0
Помидор,14,0.6,0,3.8,0.5
Пряники,344,5.3,5.4,70,0
Пшеница,330,12,2,60,11
Пшенка Veski Mati,378,11,3,69,8,hirss
Редис,20,1.2,0,4.1,1.6
Рис,341,8,0.7,73.5,0
Рис коричневый Veski,370,7.1,1.9,76.8,8.7
Панировочный сухари Veski,352,12,1.9,63,17
Ряженка Farmi,62,3.3,3.5,4.2,0
Рис бурый,358,8,2.5,70,8.7
Цельнозер. спагетти 7 Tartu,344,14.7,2.9,58.2,13.3
Цельнозер. Durum Penne Tartu,344,12,3.3,58.2,10.2
Свекла,48,1.7,0,10.8,2.5
Скир клубничный Farmi,83,10,0.2,10,0,skyrMaasika
Скир безвкусный Farmi,65,11,0.5,4,0,skyrMaitsestamata
Скир персиковый Farmi,83,10,0.2,10,0,skyrVirsiku
Свинина вырезка,176,20.7,10.3,0,0
Гречка Tartu,344,8.9,1.5,72.6,3.2
Сельдь,170,18,12,0,0
Семена льна,534,18,42,30,27
Семена чиа,430,20,31,2,32
Скумбрия,202,19,12,0,0
Сливки 20%,213,2.8,20,3.8,0
Смесь Rukkikama Tartu mill,340,10,1.7,63.5,15.1
Цельнозер. макароны Fusilli Tartu,353,12,3.3,63.8
Цельнозер. овсянка Tartu,359,14.1,7,54.1,11.8
Смесь 4 зерновых Tartu mill,344,10,3,63,12.5
Соус Arrabbiata,50,1.8,3.7,2.0,0.7,arrabbiata
Соус томат базилик Tartu mill,64,1.3,3.9,4.5,2.7,kaste_tomat_basiilik
Соус томат сыр Tartu mill,95,4,7.2,4.8,0.8,kaste_tomat_juust
Сыр Eesti Light E-Piim,267,33,15,0,0,juustlight
Творог обезжиренный Farmi,122,17,5,2.2,0
Творог обезжиренный Alma,93,18,0.5,3.4,0
Творог обезжиренный Saaremaa,52,10,0.2,2.5,0
Творог Ricotta Otto,104,12,4.9,3.3,0
Творог обезжиренный Tere,126,14,0.1,18,0
Творог обезжиренный ваниль Tere,115,15,0.1,14,0
Творог Saaremaa 5%,105,11,5,4,0
Творог Tere 5%,116,14,5,3.6,0
Творог Liisu,177,20,9,4,0
Сосиски,220,12,17,4,0
Сушки,331,11,1.3,69,0
Крем Profeel,71,10,0.5,6.5,0
Крем Profeel ваниль,68,10,0.5,5.8,0
Творог 9%,177,20,9,4,0
Творог Alma,109,13,5,3,0,kodujuust_alma5
Творог классический Otto,105,12,5,2.2,0
Творог обезжиренный Otto,104,15,4,2.1,0
Творог 65% Otto,94,13,3.6,2.5,0
Творог маложирный Otto,80,13.5,2,1.9,0
Творог нежирный,86,16.1,0.5,2.8,0
Творожный сырок,347,12.7,21,26.3,0
Творог с изюмом Farmi,125,16,0.5,14,0
Творожная паста какао Tere,130,8.8,5.2,12,0,kakao_kohupiimapasta_tere
Творожная паста ваниль Tere,122,7.8,4,14,0
Тунец в собственном соку,100,23,1,0,0
Тыквенные семена,560,30,45,15,7
Форель,165,21,7.3,0.5,0
Цветная капуста,29,2.5,0,4.9,2.1
Черника,57,0.7,0.3,12.1,2.4
Шпроты,385,14,36,0,0
Щука,84,18.4,1.1,0,0
Яблоко,52,0.3,0.2,14,2.4,apple
Яйца,53,12.5,12,0.5,0
